"","Layer.1","Layer.2","Layer.3","Layer.4","MSE","User.Time","CPU.Time","Reutilized"
"13177",24,16,22,24,0.123499654472196,0.0599999999999881,0,0
"2929",17,21,22,19,0.128408800364946,0.0700000000000003,0,0
"8785",21,15,20,19,0.1286046077881,0.0600000000000023,0,0
"7321",20,23,20,17,0.129069935078978,0.0799999999999983,0,0
"7322",20,22,21,15,0.129157026737056,0.0800000000000125,0,0
"7323",20,25,19,20,0.130341592407983,0.0799999999999983,0,0
"1465",16,21,24,NA,0.130422014184491,0.03,0,0
"2930",17,24,24,16,0.130684669921222,0.0500000000000043,0,0
"5857",19,18,20,18,0.130790168126641,0.0600000000000023,0,0
"1",15,22,16,16,0.131144026684498,0.0499999999999998,0,0
"5858",19,15,24,15,0.131322222568979,0.0599999999999952,0,0
"5859",19,20,18,21,0.131456274221368,0.0499999999999972,0,0
"8786",21,25,17,22,0.131875688902442,0.0799999999999983,0,0
"5860",19,19,23,22,0.13272478289932,0.0799999999999983,0,0
"10249",22,23,17,16,0.133063222674752,0.0600000000000023,0,0
"10250",22,20,15,18,0.133130414165574,0.0400000000000063,0,0
"2",15,19,25,16,0.133707162776474,0.04,0,0
"14641",25,15,20,22,0.133767134734791,0.0300000000000011,0,0
"8787",21,18,15,16,0.13388256263097,0.0600000000000023,0,0
"11713",23,22,21,15,0.134239884404911,0.0699999999999932,0,0
"7324",20,21,16,15,0.134508063695088,0.0600000000000023,0,0
"7325",20,17,17,NA,0.134543176496494,0.0599999999999996,0,0
"5861",19,15,21,NA,0.134863194741429,0.0600000000000001,0,0
"10251",22,25,18,20,0.134906979299487,0.0899999999999892,0,0
"10252",22,17,22,16,0.134974949172232,0.0600000000000023,0,0
"2931",17,19,25,25,0.135049205898585,0.0599999999999987,0,0
"13178",24,19,24,19,0.135195174012331,0.0599999999999881,0,0
"1466",16,22,18,24,0.135510917181901,0.0599999999999987,0,0
"2932",17,25,22,23,0.135576867978848,0.0600000000000023,0,0
"4393",18,17,19,19,0.13558299939004,0.0499999999999972,0,0
