"Layer 1","Layer 2","Layer 3","Layer 4","MSE","User Time","CPU Time","Reutilized"
4,4,4,4,0.659312455688061,0.00999999999999998,0,0
4,4,4,5,0.668915210002745,0.00999999999999998,0.01,0
4,4,4,6,0.668569750160753,0.00999999999999998,0,0
4,4,4,7,0.662702109716704,0.02,0,0
4,4,4,8,0.604665780249782,0.03,0,0
4,4,4,9,0.61706190416781,0.00999999999999998,0,0
4,4,4,10,0.678009855253742,0.02,0.02,0
4,4,4,11,0.667232721922813,0.02,0.02,0
4,4,4,12,0.618970515165889,0.03,0,0
4,4,4,13,0.67841865400105,0.00999999999999998,0,0
4,4,4,14,0.654484582411749,0.04,0,0
4,4,5,4,0.677641684666408,0.03,0,0
4,4,5,5,0.66606164088413,0.01,0,0
4,4,5,6,0.625321060104706,0.02,0,0
4,4,5,7,0.67988420957731,0.02,0,0
4,4,5,8,0.643467771841621,0.02,0,0
4,4,5,9,0.655973016834651,0.02,0,0
4,4,5,10,0.638808154228677,0.04,0,0
4,4,5,11,0.685785468143421,0.02,0,0
4,4,5,12,0.640132367072217,0.02,0,0
4,4,5,13,0.63176912087584,0.02,0,0
4,4,5,14,0.699400997691316,0.03,0,0
4,4,6,4,0.661758896239206,0.02,0,0
4,4,6,5,0.661782460744047,0.01,0,0
4,4,6,6,0.626459372980108,0.01,0,0
4,4,6,7,0.682183955351917,0.02,0,0
4,4,6,8,0.659445417163362,0.02,0,0
4,4,6,9,0.666812095302393,0.02,0,0
4,4,6,10,0.68115357743166,0.01,0,0
4,4,6,11,0.68031810958247,0.02,0,0
4,4,6,12,0.672268931605637,0.02,0,0
4,4,6,13,0.66498834043406,0.00999999999999995,0,0
4,4,6,14,0.644200411872042,0.00999999999999995,0,0
4,4,7,4,0.666360489924388,0.04,0,0
4,4,7,5,0.607490114585168,0.01,0,0
4,4,7,6,0.626603165413326,0.02,0,0
4,4,7,7,0.662793923394227,0.01,0,0
4,4,7,8,0.66710375488035,0.01,0,0
4,4,7,9,0.661660363542661,0.01,0,0
4,4,7,10,0.692563067233317,0.02,0,0
4,4,7,11,0.618398032744844,0.03,0,0
4,4,7,12,0.616628301721192,0.03,0,0
4,4,7,13,0.698497610793337,0.00999999999999995,0,0
4,4,7,14,0.648965506876383,0.02,0,0
4,4,8,4,0.667217804595583,0.02,0,0
4,4,8,5,0.672314971826896,0.02,0,0
4,4,8,6,0.657777162411532,0.01,0,0
4,4,8,7,0.641970458215477,0.02,0,0
4,4,8,8,0.652125906160187,0.02,0,0
4,4,8,9,0.637546852265116,0.01,0,0
4,4,8,10,0.649532178222902,0.02,0,0
4,4,8,11,0.620233224575755,0.01,0,0
4,4,8,12,0.668922539848333,0,0,0
4,4,8,13,0.637988633573914,0.02,0,0
4,4,8,14,0.639860288288483,0.04,0,0
4,4,9,4,0.669332875488552,0.01,0,0
4,4,9,5,0.659920432786021,0.01,0,0
4,4,9,6,0.65573604430423,0.04,0,0
4,4,9,7,0.558760637986291,0.02,0,0
4,4,9,8,0.626665428802934,0.02,0,0
4,4,9,9,0.666249035186655,0.03,0,0
4,4,9,10,0.670953660425198,0,0,0
4,4,9,11,0.652881894153593,0.02,0,0
4,4,9,12,0.649717296508185,0.03,0,0
4,4,9,13,0.684118349744156,0,0,0
4,4,9,14,0.664653121478521,0.03,0,0
4,4,10,4,0.654285068088959,0.02,0,0
4,4,10,5,0.602025199607408,0.0099999999999999,0,0
4,4,10,6,0.67488887499724,0.01,0,0
4,4,10,7,0.657108000611448,0,0,0
4,4,10,8,0.589199311254403,0.01,0,0
4,4,10,9,0.67061848800271,0.01,0,0
4,4,10,10,0.663239609759058,0.02,0,0
4,4,10,11,0.598011389729127,0.02,0,0
4,4,10,12,0.5937884059304,0.02,0,0
4,4,10,13,0.64798832790958,0.01,0,0
4,4,10,14,0.646493862997941,0.03,0,0
4,4,11,4,0.663778779449052,0.02,0,0
4,4,11,5,0.683223544648433,0.02,0,0
4,4,11,6,0.6383347924514,0.01,0,0
4,4,11,7,0.615326617147352,0.01,0,0
4,4,11,8,0.619461146140005,0.02,0,0
4,4,11,9,0.654011752995355,0.02,0,0
4,4,11,10,0.638998517137521,0.0299999999999999,0,0
4,4,11,11,0.657740835112599,0.04,0,0
4,4,11,12,0.616234978160356,0.0299999999999999,0,0
4,4,11,13,0.623031072596099,0.03,0,0
4,4,11,14,0.686297455082258,0.0299999999999999,0,0
4,4,12,4,0.637974246132833,0,0,0
4,4,12,5,0.65823743912784,0,0,0
4,4,12,6,0.694614336589599,0.03,0,0
4,4,12,7,0.599626033964454,0.03,0,0
