"Layer 1","Layer 2","Layer 3","MSE","User Time","CPU Time"
7,7,7,0.327482142368395,0.00999999999999998,0
7,7,8,0.426794745523046,0.00999999999999998,0
7,7,9,0.368458519660286,0.00999999999999998,0.02
7,7,10,0.358375784192265,0.00999999999999998,0.02
7,7,11,0.288831707970441,0.02,0
7,7,12,0.321693206889337,0.02,0.01
7,7,13,0.273032863384048,0.03,0
7,8,7,0.302135387767923,0.02,0
7,8,8,0.322714283451161,0.02,0
7,8,9,0.28633469526424,0.02,0
7,8,10,0.263800897272772,0.02,0
7,8,11,0.362050868993823,0.02,0
7,8,12,0.355124573268572,0.02,0
7,8,13,0.35561948338605,0.01,0
7,9,7,0.321633578037068,0.02,0
7,9,8,0.339267405697529,0.02,0
7,9,9,0.325659156967588,0.02,0
7,9,10,0.336597383216979,0,0
7,9,11,0.292635441017083,0.01,0
7,9,12,0.277349605968804,0.00999999999999998,0
7,9,13,0.473539458187536,0.02,0
7,10,7,0.301591141221806,0,0
7,10,8,0.444181446350526,0.00999999999999995,0
7,10,9,0.347225468744596,0.02,0
7,10,10,0.338803888877534,0.01,0
7,10,11,0.334712551082847,0.02,0
7,10,12,0.355815500598173,0.02,0
7,10,13,0.341529793264333,0.00999999999999995,0
7,11,7,0.475191332741931,0.02,0
7,11,8,0.384431874030569,0.02,0
7,11,9,0.433736659723958,0.00999999999999995,0
7,11,10,0.38754834020986,0.02,0
7,11,11,0.433850486665452,0.02,0
7,11,12,0.30374342024779,0.00999999999999995,0
7,11,13,0.311686855885573,0.02,0
7,12,7,0.332214831378512,0.00999999999999995,0
7,12,8,0.369553105963523,0,0
7,12,9,0.348392244654329,0.02,0
7,12,10,0.27551524754148,0.02,0
7,12,11,0.267652216627498,0.02,0
7,12,12,0.282630320534326,0.00999999999999995,0
7,12,13,0.33567903848445,0.02,0
7,13,7,0.344809875934152,0.00999999999999995,0
7,13,8,0.398816730585087,0.02,0
7,13,9,0.311393095428628,0,0
7,13,10,0.369138928497399,0,0
7,13,11,0.285737613851828,0.02,0
7,13,12,0.276818536577129,0.01,0
7,13,13,0.293193065193807,0.02,0
8,7,7,0.430755196512858,0.02,0
8,7,8,0.27375409958062,0,0
8,7,9,0.323300847539581,0,0
8,7,10,0.27217903299155,0.01,0
8,7,11,0.40282569982667,0.02,0
8,7,12,0.559057616027519,0.01,0
8,7,13,0.30274287934357,0.01,0
8,8,7,0.318287771214347,0.02,0
8,8,8,0.342319122240909,0.01,0
8,8,9,0.318733591118679,0.02,0
8,8,10,0.458385774777834,0.01,0
8,8,11,0.428556722055176,0.02,0
8,8,12,0.387453217435814,0.01,0
8,8,13,0.632172780666845,0.02,0
8,9,7,0.300203799612293,0,0
8,9,8,0.614233520010111,0.01,0
8,9,9,0.352018274806511,0.02,0
8,9,10,0.305522761947939,0.02,0
8,9,11,0.301016649170709,0.01,0
8,9,12,0.322920347391643,0.02,0
8,9,13,0.459468496342862,0.01,0
8,10,7,0.346275499274966,0,0
8,10,8,0.312745912256025,0,0
8,10,9,0.476341411864406,0.02,0
8,10,10,0.323985710970458,0.02,0
8,10,11,0.300700167807308,0.03,0
8,10,12,0.268140384028253,0.02,0
8,10,13,0.373372036901062,0.01,0
8,11,7,0.340018145842954,0.0099999999999999,0
8,11,8,0.322997278128437,0.02,0
8,11,9,0.389821972843722,0.02,0
8,11,10,0.265530179738014,0.02,0
8,11,11,0.339802070050059,0.0099999999999999,0
8,11,12,0.512272415561619,0.02,0
8,11,13,0.375642406973763,0.02,0
8,12,7,0.562472940354668,0.0099999999999999,0
8,12,8,0.297967517253655,0.01,0
8,12,9,0.370506400069471,0.01,0
8,12,10,0.357883264737092,0.02,0
