"Layer 1","Layer 2","Layer 3","Layer 4","MSE","User Time","CPU Time"
67,67,67,67,31.5189888731749,3.53,0.02
67,67,67,68,35.2340478190819,3.4,0.05
67,67,67,69,33.6727425866318,3.3,0.06
67,67,67,70,35.6255537577345,3.31,0.05
67,67,67,71,35.5448585001387,3.58,0.03
67,67,67,72,39.4789264384122,3.44,0.02
67,67,67,73,35.8050989367749,3.48,0.06
67,67,68,67,39.8988359810266,3.39,0.06
67,67,68,68,38.0174869131671,3.47,0.04
67,67,68,69,36.55595459699,3.47,0.03
67,67,68,70,35.4438049229481,3.42,0.07
67,67,68,71,33.6375352890448,3.73,0.00999999999999998
67,67,68,72,36.5335293296175,3.75,0.02
67,67,68,73,36.0417874853669,3.61,0
67,67,69,67,37.5693589816556,3.46,0.02
67,67,69,68,39.7521566539158,3.3,0
67,67,69,69,39.529181257291,3.47,0
67,67,69,70,39.4220382474217,3.53,0
67,67,69,71,34.5349934909315,3.69,0
67,67,69,72,38.7361630971713,3.55,0
67,67,69,73,40.4791778369477,3.53,0.02
67,67,70,67,37.9590713606401,3.33,0.01
67,67,70,68,35.700862830256,3.63,0.00999999999999998
67,67,70,69,37.9597430603309,3.83,0
67,67,70,70,34.5266952071689,3.84,0.02
67,67,70,71,36.6059217432451,3.69,0
67,67,70,72,37.3739410669903,3.69,0.02
67,67,70,73,38.4558319856315,3.72,0
67,67,71,67,38.673951040698,3.83,0
67,67,71,68,32.8548655395089,3.66,0
67,67,71,69,35.6619700853799,3.58,0
67,67,71,70,38.7997144620939,3.68,0.03
67,67,71,71,31.7390371035786,3.75,0
67,67,71,72,37.1183228273329,3.94,0
67,67,71,73,38.5593926443797,4.09,0
67,67,72,67,39.3326322105942,3.77,0
67,67,72,68,35.7683352372302,3.91,0
67,67,72,69,36.1626943537805,4,0
67,67,72,70,37.1647420760442,3.94,0.00999999999999998
67,67,72,71,34.0396194108433,4.07,0
67,67,72,72,37.8741677567674,3.77,0.02
67,67,72,73,37.9308482365392,3.82,0.07
67,67,73,67,34.8322179779703,3.83,0.02
67,67,73,68,34.9668581211847,3.89,0
67,67,73,69,35.4156660320388,3.86,0.03
67,67,73,70,39.5122825017382,3.94,0
67,67,73,71,31.2029089900905,3.86,0
67,67,73,72,38.9333724741053,3.94,0
67,67,73,73,39.8349345899229,3.96,0
67,68,67,67,40.1489694795889,3.36,0
67,68,67,68,39.3608957851762,3.36,0
67,68,67,69,33.8983894786226,3.48,0
67,68,67,70,40.4254325774538,3.63,0
67,68,67,71,33.4034434217928,3.44,0
67,68,67,72,32.609204177239,3.53,0.00999999999999998
67,68,67,73,41.1097644473139,3.67,0
67,68,68,67,35.6635311794171,3.53,0.00999999999999998
67,68,68,68,36.0068615471277,3.89,0.01
67,68,68,69,36.0202798547642,3.5,0
67,68,68,70,40.9353024971943,3.66,0
67,68,68,71,39.7449133806766,3.41,0.02
67,68,68,72,35.0366563982189,3.57,0
67,68,68,73,36.0195300160568,3.63,0
67,68,69,67,39.0064761796182,3.45,0
67,68,69,68,35.2559215834091,3.41,0
67,68,69,69,39.4620065523354,3.44,0
67,68,69,70,37.7336601754543,3.64,0
67,68,69,71,35.7579477023103,3.8,0
67,68,69,72,36.9090375379204,3.86,0
67,68,69,73,39.5457963482834,3.79,0.00999999999999998
67,68,70,67,31.8820367526666,3.72,0
67,68,70,68,38.1625877845721,3.68,0.02
67,68,70,69,38.1077378870751,3.71,0
67,68,70,70,34.8794924256837,3.65,0
67,68,70,71,38.2798349569969,3.58,0
67,68,70,72,36.656950259281,3.67,0.00999999999999998
67,68,70,73,32.7665468443281,3.7,0.03
67,68,71,67,32.8927245841419,3.72,0
67,68,71,68,32.2526379326649,3.95,0
67,68,71,69,32.8101088974843,3.7,0
67,68,71,70,39.1476881563578,3.96,0.00999999999999998
67,68,71,71,39.4243692086635,3.88,0.02
67,68,71,72,34.1221966191427,3.77,0.03
67,68,71,73,35.2894702798254,3.96,0
