"1st layer","2nd layer","3rd layer","4th layer","MSE","User Time","CPU Time"
19,19,19,19,0.829373520009241,0.06,0
19,19,19,20,0.766532365141898,0.08,0.02
19,19,19,21,0.865880255014995,0.06,0
19,19,19,22,0.78700456314588,0.06,0.02
19,19,19,23,0.817688447066188,0.07,0
19,19,19,24,0.924844245293449,0.08,0.01
19,19,19,25,0.819902778328829,0.06,0.01
19,19,20,19,0.844932736896992,0.08,0
19,19,20,20,0.78698727538426,0.08,0.04
19,19,20,21,0.820676896813791,0.08,0
19,19,20,22,0.877030854683447,0.07,0.01
19,19,20,23,0.81419453479077,0.06,0
19,19,20,24,0.828227498896472,0.05,0
19,19,20,25,0.83441107669893,0.06,0
19,19,21,19,0.796984085125888,0.08,0
19,19,21,20,0.746814154536253,0.08,0
19,19,21,21,0.832807625005992,0.05,0
19,19,21,22,0.947752091140078,0.06,0
19,19,21,23,0.791500502928546,0.06,0
19,19,21,24,0.853773202927587,0.06,0
19,19,21,25,0.72951160851396,0.0800000000000001,0
19,19,22,19,0.819159655000805,0.05,0
19,19,22,20,0.79822692950213,0.0600000000000001,0.02
19,19,22,21,0.768356108020824,0.0600000000000001,0
19,19,22,22,0.825993395371871,0.0599999999999999,0
19,19,22,23,0.75592778427636,0.0800000000000001,0
19,19,22,24,0.92871143998196,0.0600000000000001,0.01
19,19,22,25,0.819274434762218,0.0600000000000001,0
19,19,23,19,0.797050219231784,0.05,0
19,19,23,20,0.798240277535912,0.05,0
19,19,23,21,0.829985130915547,0.0600000000000001,0
19,19,23,22,0.773704213948632,0.0399999999999999,0
19,19,23,23,0.769950907429628,0.07,0
19,19,23,24,0.812170889326203,0.0600000000000001,0
19,19,23,25,0.800805711985475,0.07,0
19,19,24,19,0.800219538439132,0.0599999999999999,0
19,19,24,20,0.790564657876551,0.0599999999999999,0
19,19,24,21,0.788160879809221,0.0599999999999999,0
19,19,24,22,0.812649822314648,0.0599999999999999,0
19,19,24,23,0.833221333562755,0.0599999999999999,0
19,19,24,24,0.787158498680981,0.0599999999999999,0
19,19,24,25,0.789256001510283,0.0599999999999999,0
19,19,25,19,0.782740026134209,0.0700000000000001,0
19,19,25,20,0.814954800656405,0.05,0
19,19,25,21,0.833639963385512,0.05,0
19,19,25,22,0.847712834144477,0.0600000000000001,0
19,19,25,23,0.856370454592986,0.0800000000000001,0
19,19,25,24,0.76914813044784,0.0800000000000001,0
19,19,25,25,0.794359536161468,0.0700000000000001,0
19,20,19,19,0.858662583053184,0.05,0
19,20,19,20,0.785661893370848,0.0800000000000001,0
19,20,19,21,0.745325892337277,0.08,0
19,20,19,22,0.799327472077266,0.04,0
19,20,19,23,0.839805063079979,0.05,0
19,20,19,24,0.804328457086816,0.04,0
19,20,19,25,0.793917008553994,0.05,0
19,20,20,19,0.813884450440357,0.05,0
19,20,20,20,0.75422988128122,0.0600000000000001,0
19,20,20,21,0.781620115891067,0.0900000000000001,0
19,20,20,22,0.815118524076204,0.04,0
19,20,20,23,0.819071387023831,0.05,0
19,20,20,24,0.791747803506727,0.04,0
19,20,20,25,0.787737304248258,0.0600000000000001,0
19,20,21,19,0.830228490646289,0.05,0
19,20,21,20,0.733089475604593,0.0499999999999998,0
19,20,21,21,0.723523731991637,0.04,0
19,20,21,22,0.816268034552341,0.05,0
19,20,21,23,0.762934124731967,0.0600000000000001,0
19,20,21,24,0.806179313640276,0.0499999999999998,0
19,20,21,25,0.909881399803833,0.0499999999999998,0
19,20,22,19,0.790568230247269,0.0599999999999998,0
19,20,22,20,0.795879854860056,0.04,0
19,20,22,21,0.803091926414477,0.05,0
19,20,22,22,0.807652504315569,0.0699999999999998,0
19,20,22,23,0.802863643177442,0.0499999999999998,0
19,20,22,24,0.815029926360406,0.0700000000000001,0
19,20,22,25,0.851782634849668,0.0499999999999998,0
19,20,23,19,0.807488425992303,0.04,0
19,20,23,20,0.757446241329985,0.0700000000000001,0
19,20,23,21,0.789895576062679,0.0600000000000001,0
19,20,23,22,0.790802266171958,0.0600000000000001,0
19,20,23,23,0.82492036855842,0.0699999999999998,0
19,20,23,24,0.846429352886591,0.0600000000000001,0
19,20,23,25,0.805302498198703,0.05,0
19,20,24,19,0.818087390466594,0.0700000000000001,0
19,20,24,20,0.775468659144979,0.04,0
19,20,24,21,0.833476177551261,0.0600000000000001,0
19,20,24,22,0.828361610008603,0.0599999999999998,0
19,20,24,23,0.839023498309006,0.04,0
19,20,24,24,0.786873210377874,0.05,0
19,20,24,25,0.7564699227387,0.0600000000000001,0
19,20,25,19,0.814145673071992,0.0700000000000001,0
19,20,25,20,0.79390063170807,0.05,0
19,20,25,21,0.805802382816836,0.0600000000000001,0
19,20,25,22,0.787950600232746,0.0600000000000001,0
19,20,25,23,0.819997598697121,0.0600000000000001,0
19,20,25,24,0.789216273879746,0.0800000000000001,0
19,20,25,25,0.766572616364784,0.0600000000000001,0
19,21,19,19,0.826952956753548,0.05,0
19,21,19,20,0.863968362911635,0.03,0
19,21,19,21,0.750583769141169,0.04,0
19,21,19,22,0.825648385624695,0.0499999999999998,0
19,21,19,23,0.817112099967289,0.05,0
19,21,19,24,0.762953639277621,0.0599999999999998,0
19,21,19,25,0.738912973067533,0.0599999999999998,0
19,21,20,19,0.825376827267996,0.0599999999999998,0
19,21,20,20,0.83973335473329,0.0799999999999998,0
19,21,20,21,0.776189984687457,0.0600000000000001,0
19,21,20,22,0.810870822665338,0.0700000000000001,0
19,21,20,23,0.792936130579464,0.04,0
19,21,20,24,0.790654430687086,0.04,0
19,21,20,25,0.896299080314037,0.0800000000000001,0
19,21,21,19,0.925313688142886,0.0600000000000001,0
19,21,21,20,0.781014575032672,0.0500000000000003,0
19,21,21,21,0.823074599719414,0.0600000000000001,0
19,21,21,22,0.808280894065506,0.04,0
19,21,21,23,0.808240374994199,0.0600000000000001,0
19,21,21,24,0.825873308879882,0.0499999999999998,0
19,21,21,25,0.813094806948531,0.0499999999999998,0
19,21,22,19,0.740643018137119,0.0600000000000001,0
19,21,22,20,0.808882258035066,0.0500000000000003,0
19,21,22,21,0.851979356120114,0.0500000000000003,0
19,21,22,22,0.779522115222748,0.0499999999999998,0
19,21,22,23,1.02767938793786,0.0600000000000001,0
19,21,22,24,0.858847166642261,0.04,0
19,21,22,25,0.761579802311445,0.0699999999999998,0
19,21,23,19,0.838517055731942,0.0500000000000003,0
19,21,23,20,0.808784965643159,0.0699999999999998,0
19,21,23,21,0.779921294054398,0.0600000000000001,0
19,21,23,22,0.872939934676084,0.0600000000000001,0
19,21,23,23,0.834247438545893,0.0800000000000001,0
19,21,23,24,0.811381578143211,0.0600000000000001,0
19,21,23,25,0.896605801550059,0.0600000000000001,0
19,21,24,19,0.789009380907891,0.04,0
19,21,24,20,0.82082926263148,0.0600000000000001,0
19,21,24,21,0.81583246855584,0.0899999999999999,0
19,21,24,22,0.898081826694302,0.0600000000000001,0
19,21,24,23,0.775662262871911,0.0600000000000001,0
19,21,24,24,0.786014532898885,0.0599999999999996,0
19,21,24,25,0.788400372884256,0.0600000000000001,0
19,21,25,19,0.818405148770724,0.0600000000000001,0
19,21,25,20,0.820380171920931,0.0699999999999998,0
19,21,25,21,0.814537489039504,0.0600000000000001,0
19,21,25,22,0.847578636570604,0.0699999999999998,0
19,21,25,23,0.813706833169365,0.0600000000000001,0
19,21,25,24,0.801615291318295,0.0699999999999998,0
19,21,25,25,0.798039344780108,0.0800000000000001,0
19,22,19,19,0.778174799822205,0.0600000000000001,0
19,22,19,20,0.805915337362618,0.04,0
19,22,19,21,0.783825267081697,0.0600000000000001,0
19,22,19,22,0.828588736200078,0.0800000000000001,0
19,22,19,23,0.803124133812556,0.0499999999999998,0
19,22,19,24,0.779776092601108,0.0500000000000003,0
