"Layer 1","Layer 2","Layer 3","MSE","User Time","CPU Time","Reutilized"
15,15,15,0.190295490983633,0.04,0,0
15,15,16,0.187476714213509,0.03,0,0
15,15,17,0.212608258903314,0.04,0,0
15,15,18,0.188898181043675,0.05,0,0
15,15,19,0.191663387298352,0.05,0,0
15,15,20,0.171459279954703,0.03,0.03,0
15,15,21,0.184951571593089,0.05,0,0
15,15,22,0.201522395988833,0.07,0,0
15,15,23,0.186524885457722,0.03,0.01,0
15,15,24,0.166163864979627,0.02,0.04,0
15,15,25,0.173784659857408,0.03,0,0
15,16,15,0.207244230901726,0.03,0,0
15,16,16,0.173580982648383,0.04,0,0
15,16,17,0.175608437365267,0.04,0,0
15,16,18,0.166533247919877,0.04,0,0
15,16,19,0.165945333612277,0.03,0,0
15,16,20,0.164389328424507,0.02,0,0
15,16,21,0.19259170289945,0.04,0,0
15,16,22,0.177986434934924,0.05,0,0
15,16,23,0.169576278270721,0.05,0,0
15,16,24,0.241763303291413,0.04,0,0
15,16,25,0.163806173113,0.03,0,0
15,17,15,0.17401214507548,0.03,0,0
15,17,16,0.178029423819975,0.05,0,0
15,17,17,0.18044621850279,0.05,0,0
15,17,18,0.187572082232875,0.03,0,0
15,17,19,0.183669414060162,0.03,0,0
15,17,20,0.174723925107685,0.05,0,0
15,17,21,0.219035379104584,0.03,0,0
15,17,22,0.236704204689259,0.05,0,0
15,17,23,0.288056483755298,0.05,0,0
15,17,24,0.170845928171742,0.03,0,0
15,17,25,0.185922943755516,0.05,0.02,0
15,18,15,0.183796363820305,0.01,0,0
15,18,16,0.190763077527155,0.02,0,0
15,18,17,0.159806050777334,0.04,0,0
15,18,18,0.186547055888731,0.03,0,0
15,18,19,0.224506348721107,0.05,0,0
15,18,20,0.175343156677411,0.05,0,0
15,18,21,0.216436203123955,0.05,0,0
15,18,22,0.176860254461533,0.02,0,0
15,18,23,0.169095849430894,0.05,0,0
15,18,24,0.152112964401409,0.04,0,0
15,18,25,0.184266578685967,0.07,0,0
15,19,15,0.175743602041488,0.03,0,0
15,19,16,0.187414138167026,0.05,0,0
15,19,17,0.161482711945072,0.03,0,0
15,19,18,0.158243448822788,0.0299999999999999,0,0
15,19,19,0.211642135187955,0.03,0.01,0
15,19,20,0.150105312881699,0.05,0,0
15,19,21,0.163355483961964,0.0299999999999999,0,0
15,19,22,0.172257684475804,0.05,0,0
15,19,23,0.183773496966358,0.05,0,0
15,19,24,0.183663740073609,0.05,0,0
15,19,25,0.15589397891556,0.03,0,0
15,20,15,0.174454345413817,0.0399999999999999,0,0
15,20,16,0.195546319066993,0.0399999999999999,0,0
15,20,17,0.204476026589819,0.05,0,0
15,20,18,0.147436981576795,0.05,0,0
15,20,19,0.184592408483608,0.05,0,0
15,20,20,0.165458569887862,0.05,0,0
15,20,21,0.166498394695764,0.0499999999999999,0,0
15,20,22,0.170298480521821,0.05,0,0
15,20,23,0.179057660445385,0.05,0,0
15,20,24,0.294065302123914,0.04,0,0
15,20,25,0.219886314446891,0.0800000000000001,0,0
15,21,15,0.169080765490839,0.01,0,0
15,21,16,0.168695233221091,0.0499999999999999,0,0
15,21,17,0.159843498715207,0.0499999999999999,0,0
15,21,18,0.181656697103938,0.05,0,0
15,21,19,0.192260507242632,0.03,0,0
15,21,20,0.149891950988043,0.03,0,0
15,21,21,0.151703045427972,0.03,0,0
15,21,22,0.160869209148848,0.07,0,0
15,21,23,0.157074604629734,0.0499999999999999,0,0
15,21,24,0.157091164676526,0.0399999999999999,0,0
15,21,25,0.223068279970258,0.0599999999999999,0,0
15,22,15,0.170808910943967,0.03,0,0
15,22,16,0.175459977539862,0.05,0,0
15,22,17,0.170590078331141,0.0499999999999999,0,0
15,22,18,0.181086815241615,0.04,0,0
15,22,19,0.176084267701905,0.05,0,0
15,22,20,0.152210448184786,0.04,0,0
15,22,21,0.197357370995583,0.03,0,0
15,22,22,0.168727596491638,0.0299999999999999,0,0
15,22,23,0.179608931865631,0.05,0,0
15,22,24,0.154514009197058,0.05,0,0
15,22,25,0.197755876128577,0.05,0,0
15,23,15,0.177819201194216,0.04,0,0
15,23,16,0.17718417232187,0.0599999999999999,0,0
15,23,17,0.158685993849951,0.0399999999999999,0,0
15,23,18,0.173684652805162,0.0299999999999999,0,0
15,23,19,0.167917056012869,0.05,0,0
15,23,20,0.192540751814109,0.0599999999999999,0,0
15,23,21,0.204836150289942,0.03,0,0
15,23,22,0.155586288661465,0.05,0,0
15,23,23,0.228610436230814,0.0800000000000001,0,0
15,23,24,0.194701834292517,0.0399999999999999,0,0
15,23,25,0.188216309164174,0.0299999999999999,0,0
15,24,15,0.17370055523487,0.04,0,0
15,24,16,0.194628414299388,0.03,0,0
15,24,17,0.182306238096955,0.04,0,0
15,24,18,0.18303633120249,0.04,0,0
15,24,19,0.157386309403831,0.0499999999999999,0,0
15,24,20,0.256159380151938,0.0599999999999999,0,0
15,24,21,0.171902041948477,0.0499999999999999,0,0
15,24,22,0.172756039352621,0.0600000000000001,0,0
15,24,23,0.154872229009734,0.05,0,0
15,24,24,0.194427468697736,0.0600000000000001,0,0
15,24,25,0.183630742381852,0.07,0,0
15,25,15,0.162325195959679,0.04,0,0
15,25,16,0.173477461262611,0.0299999999999999,0,0
15,25,17,0.177188971962177,0.05,0,0
15,25,18,0.188745448603364,0.0499999999999999,0,0
15,25,19,0.177016580408163,0.04,0,0
15,25,20,0.1593155576684,0.03,0,0
15,25,21,0.187680083333764,0.0600000000000001,0,0
15,25,22,0.15239319793072,0.0599999999999998,0,0
15,25,23,0.210069407230802,0.05,0,0
15,25,24,0.189336038279868,0.03,0,0
15,25,25,0.181286779516973,0.0600000000000001,0,0
16,15,15,0.173214808731124,0.03,0,0
16,15,16,0.147886287389731,0.03,0,0
16,15,17,0.177260351342224,0.03,0,0
16,15,18,0.177443106938026,0.03,0,0
16,15,19,0.16138897631732,0.0299999999999998,0,0
16,15,20,0.210553135530072,0.03,0,0
16,15,21,0.171663173568366,0.0499999999999998,0,0
16,15,22,0.174630529255513,0.0499999999999998,0,0
16,15,23,0.240650927143434,0.03,0,0
16,15,24,0.18387672303241,0.03,0,0
16,15,25,0.177865819504467,0.0499999999999998,0,0
16,16,15,0.201226710487375,0.04,0,0
16,16,16,0.166983749042913,0.0499999999999998,0,0
16,16,17,0.182990001825613,0.03,0,0
16,16,18,0.189323840738754,0.03,0,0
16,16,19,0.155727166931805,0.01,0,0
16,16,20,0.164616809707917,0.0600000000000001,0,0
16,16,21,0.169518154831927,0.05,0,0
16,16,22,0.168568559916825,0.04,0,0
16,16,23,0.181953005694322,0.05,0,0
16,16,24,0.160803434451214,0.05,0,0
16,16,25,0.16124624751153,0.04,0,0
16,17,15,0.226178711164082,0.05,0,0
16,17,16,0.173244967235104,0.02,0,0
16,17,17,0.178240205616985,0.03,0,0
16,17,18,0.181449016650339,0.03,0,0
16,17,19,0.143836985547504,0.03,0,0
16,17,20,0.156281493150953,0.05,0,0
16,17,21,0.247624597462927,0.05,0,0
16,17,22,0.171267664225674,0.05,0,0
16,17,23,0.197329837965491,0.05,0,0
16,17,24,0.219684437086038,0.0599999999999998,0,0
16,17,25,0.22712376296904,0.0699999999999998,0,0
16,18,15,0.161654762275604,0.03,0,0
16,18,16,0.178254327090636,0.03,0,0
16,18,17,0.167963568270211,0.0299999999999998,0,0
16,18,18,0.189715560559872,0.0699999999999998,0,0
16,18,19,0.17549039002252,0.05,0,0
16,18,20,0.206419715667594,0.0600000000000001,0,0
16,18,21,0.188147333158451,0.0499999999999998,0,0
16,18,22,0.178952677868619,0.05,0,0
16,18,23,0.182970203311121,0.04,0,0
16,18,24,0.195442277129802,0.0399999999999998,0,0
16,18,25,0.154661609263797,0.05,0,0
16,19,15,0.152742590761805,0.04,0,0
16,19,16,0.180539396798431,0.03,0,0
16,19,17,0.189254421376703,0.03,0,0
16,19,18,0.185259654338465,0.03,0,0
16,19,19,0.185279630525022,0.02,0,0
16,19,20,0.162559152883064,0.03,0,0
16,19,21,0.189675532440427,0.05,0,0
16,19,22,0.181725974888287,0.03,0,0
16,19,23,0.160560267207354,0.05,0,0
16,19,24,0.17469246745519,0.03,0,0
16,19,25,0.213020913615989,0.05,0,0
16,20,15,0.156983710115725,0.04,0,0
16,20,16,0.165789759162666,0.03,0,0
16,20,17,0.252714224743578,0.04,0,0
16,20,18,0.170070045551667,0.02,0.02,0
16,20,19,0.183450364447475,0.04,0,0
16,20,20,0.164144831402288,0.03,0,0
16,20,21,0.181450881323604,0.04,0,0
16,20,22,0.186875885001207,0.05,0,0
16,20,23,0.171865858801644,0.05,0,0
16,20,24,0.184923208272942,0.0699999999999998,0,0
16,20,25,0.171882520832229,0.0599999999999998,0,0
16,21,15,0.167286950011703,0.03,0,0
16,21,16,0.169127073955542,0.05,0,0
16,21,17,0.160104113787916,0.0600000000000001,0,0
16,21,18,0.16363091273886,0.0499999999999998,0,0
16,21,19,0.172122258443031,0.03,0,0
16,21,20,0.186491644031878,0.03,0,0
16,21,21,0.182069792388339,0.0599999999999998,0,0
16,21,22,0.188888454201928,0.0600000000000001,0,0
16,21,23,0.166435381724188,0.03,0,0
16,21,24,0.130422014184491,0.03,0,0
16,21,25,0.174773051417624,0.05,0,0
16,22,15,0.174656510631339,0.03,0,0
16,22,16,0.190396084330459,0.03,0,0
16,22,17,0.166926622715177,0.03,0,0
16,22,18,0.188221177829104,0.03,0,0
16,22,19,0.198533798915699,0.04,0,0
16,22,20,0.219709845511609,0.03,0,0
16,22,21,0.200552954139925,0.05,0,0
16,22,22,0.152817660970324,0.0600000000000001,0,0
16,22,23,0.157791158006484,0.05,0,0
16,22,24,0.208846769318451,0.0600000000000001,0,0
16,22,25,0.172618840521029,0.04,0,0
16,23,15,0.158579125636861,0.05,0,0
16,23,16,0.14701376869148,0.04,0,0
16,23,17,0.170943302580563,0.04,0,0
16,23,18,0.189253503749715,0.04,0,0
16,23,19,0.142225431909054,0.04,0,0
16,23,20,0.174012415269837,0.04,0,0
16,23,21,0.186228389560674,0.05,0,0
16,23,22,0.168597149009412,0.0499999999999998,0,0
16,23,23,0.188983315422637,0.0499999999999998,0,0
16,23,24,0.197095421983011,0.0499999999999998,0,0
16,23,25,0.172154278709094,0.05,0,0
16,24,15,0.172952868969275,0.03,0,0
16,24,16,0.175960335019867,0.04,0,0
16,24,17,0.170006747993395,0.03,0.01,0
16,24,18,0.25261576876883,0.05,0,0
16,24,19,0.173109892782589,0.05,0,0
16,24,20,0.20137653243178,0.04,0,0
16,24,21,0.203685413396762,0.0499999999999998,0,0
16,24,22,0.162450526105875,0.04,0,0
16,24,23,0.156822507978693,0.05,0,0
16,24,24,0.173972076318504,0.03,0,0
16,24,25,0.185690898424575,0.0499999999999998,0,0
16,25,15,0.186829484177556,0.04,0,0
16,25,16,0.26114861318975,0.05,0,0
16,25,17,0.16262795792891,0.0600000000000001,0,0
16,25,18,0.245955107046637,0.04,0,0
16,25,19,0.19371904957492,0.0499999999999998,0,0
16,25,20,0.170669896355281,0.0599999999999998,0,0
16,25,21,0.191795937737927,0.05,0,0
16,25,22,0.175298662864915,0.0600000000000001,0.02,0
16,25,23,0.17683367392137,0.0300000000000002,0,0
16,25,24,0.193536660345387,0.0700000000000003,0,0
16,25,25,0.186807682738699,0.0599999999999998,0,0
17,15,15,0.180399429360413,0.0300000000000002,0,0
17,15,16,0.18336298490688,0.03,0,0
17,15,17,0.182794102696549,0.04,0,0
17,15,18,0.153046448976627,0.05,0,0
17,15,19,0.201544186572931,0.02,0.01,0
17,15,20,0.165044795898723,0.02,0,0
17,15,21,0.222181656188726,0.0300000000000002,0.00999999999999998,0
17,15,22,0.164051707548149,0.0500000000000003,0,0
17,15,23,0.167447988887224,0.0500000000000003,0,0
17,15,24,0.15199363434695,0.0300000000000002,0,0
17,15,25,0.180840176945865,0.0300000000000002,0,0
17,16,15,0.161394308575611,0.0500000000000003,0,0
17,16,16,0.177070807710734,0.0299999999999998,0,0
17,16,17,0.186720918409238,0.0300000000000002,0,0
17,16,18,0.165847887599534,0.0299999999999998,0,0
17,16,19,0.164527854559841,0.04,0,0
17,16,20,0.155597327635933,0.0299999999999998,0,0
17,16,21,0.1750132933126,0.0300000000000002,0,0
17,16,22,0.17002746035463,0.04,0,0
17,16,23,0.179345662970319,0.0499999999999998,0,0
17,16,24,0.188063206139659,0.0500000000000003,0,0
