"Layer 1","Layer 2","Layer 3","Layer 4","MSE","User Time","CPU Time","Reutilized"
25,25,25,25,0.016696123563968,0.11,0.02,0
25,25,25,26,0.0114664077231997,0.11,0,0
25,25,25,27,0.0138539260379955,0.11,0.02,0
25,25,25,28,0.027956701662678,0.11,0.01,0
25,25,25,29,0.0102445411823785,0.05,0.06,0
25,25,25,30,0.0117206889816445,0.11,0.02,0
25,25,25,31,0.0115620992903011,0.12,0,0
25,25,25,32,0.0145945266739514,0.14,0,0
25,25,25,33,0.0110290302069203,0.13,0.02,0
25,25,25,34,0.01078815450007,0.12,0.01,0
25,25,25,35,0.0116722990716853,0.12,0.02,0
25,25,26,25,0.00937415052263774,0.11,0,0
25,25,26,26,0.0127278471589104,0.12,0,0
25,25,26,27,0.0124560739440388,0.13,0,0
25,25,26,28,0.0186752779943946,0.1,0.02,0
25,25,26,29,0.0120447336008057,0.11,0,0
25,25,26,30,0.0213946106675845,0.11,0,0
25,25,26,31,0.0123849489757033,0.11,0,0
25,25,26,32,0.0133274021316859,0.11,0,0
25,25,26,33,0.0140561989004874,0.11,0,0
25,25,26,34,0.0115564783996628,0.11,0,0
25,25,26,35,0.0112663304004749,0.12,0,0
25,25,27,25,0.0115408375192662,0.09,0,0
25,25,27,26,0.0148951543232354,0.11,0,0
25,25,27,27,0.011036803040609,0.12,0,0
25,25,27,28,0.0123180971488619,0.1,0,0
25,25,27,29,0.0120239326549981,0.1,0,0
25,25,27,30,0.0116113476906775,0.11,0,0
25,25,27,31,0.0175392338628199,0.13,0,0
25,25,27,32,0.0100138837945188,0.11,0,0
25,25,27,33,0.0127529665530158,0.13,0,0
25,25,27,34,0.0143572164489052,0.11,0,0
25,25,27,35,0.013211054626183,0.11,0,0
25,25,28,25,0.0122686305500257,0.09,0,0
25,25,28,26,0.0108215036721379,0.11,0,0
25,25,28,27,0.0277530907869693,0.13,0,0
25,25,28,28,0.0121231630410225,0.12,0,0
25,25,28,29,0.0123939117628702,0.1,0,0
25,25,28,30,0.0114360964223421,0.11,0,0
25,25,28,31,0.0129663161527192,0.11,0,0
25,25,28,32,0.0144283787341384,0.12,0,0
25,25,28,33,0.0181139544301046,0.09,0,0
25,25,28,34,0.0126661003028801,0.12,0,0
25,25,28,35,0.0160382721577716,0.11,0,0
25,25,29,25,0.0134110575656359,0.1,0,0
25,25,29,26,0.0117123530537442,0.11,0,0
