"1st layer","2nd layer","3rd layer","4th layer","MSE","User Time","CPU Time"
8,8,8,8,8.94189347457174,0.00999999999999998,0.02
8,8,8,9,8.22156100778777,0.00999999999999998,0
8,8,8,10,6.80449223029887,0.03,0
8,8,8,11,8.45374076897284,0.02,0
8,8,8,12,8.2705886429224,0.04,0
8,8,8,13,7.83789423862431,0.03,0
8,8,8,14,7.76730143827078,0.04,0
8,8,9,8,8.22571351080443,0.03,0
8,8,9,9,8.0428188093013,0.02,0
8,8,9,10,7.91905228334702,0.03,0
8,8,9,11,7.77391451407905,0.02,0.02
8,8,9,12,7.98839605606476,0.02,0
8,8,9,13,7.85923432892257,0.02,0
8,8,9,14,7.74855288302022,0.02,0
8,8,10,8,7.92901772568871,0.02,0
8,8,10,9,7.67874597389373,0.02,0
8,8,10,10,8.19569064703589,0,0
8,8,10,11,7.38625506104078,0.03,0
8,8,10,12,7.6843200513677,0.02,0
8,8,10,13,7.9148988368425,0.01,0
8,8,10,14,7.94367055310508,0.00999999999999995,0
8,8,11,8,8.36354947233328,0.02,0
8,8,11,9,8.09323566387949,0,0
8,8,11,10,7.22263958686247,0.02,0
8,8,11,11,8.0892558235395,0.03,0
8,8,11,12,8.11239056165244,0,0
8,8,11,13,7.86490647355222,0.02,0
8,8,11,14,8.35050135924394,0.01,0
8,8,12,8,7.82818019465299,0,0
8,8,12,9,7.87962838752131,0.01,0
8,8,12,10,6.86845049889974,0.02,0
8,8,12,11,7.93462792346258,0.01,0
8,8,12,12,7.79870207140562,0.01,0
8,8,12,13,7.72261937868413,0.00999999999999995,0
8,8,12,14,7.69486083940906,0.03,0
8,8,13,8,7.82114368162873,0.01,0
8,8,13,9,8.10393550415973,0,0
8,8,13,10,7.844479772752,0.02,0
8,8,13,11,7.5116431765713,0.04,0
8,8,13,12,7.67212177699644,0.01,0
8,8,13,13,7.80996206456362,0.02,0
8,8,13,14,8.08405584016568,0.02,0
8,8,14,8,8.27732628265951,0.01,0
8,8,14,9,7.8331016811098,0.01,0
8,8,14,10,7.94588459526782,0.02,0
8,8,14,11,7.11484112981925,0.03,0
8,8,14,12,7.82223777439415,0.03,0
8,8,14,13,8.32272007062077,0.01,0
8,8,14,14,7.94499324644063,0.02,0
8,9,8,8,7.99020534157525,0.01,0
8,9,8,9,7.90594111180118,0.02,0
8,9,8,10,7.58765003239496,0.02,0
8,9,8,11,7.42303304882008,0.02,0
8,9,8,12,7.82190306625571,0.01,0
