"1st layer","2nd layer","3rd layer","4th layer","MSE","User Time","CPU Time"
6,6,6,6,2.58681098081251,0.03,0
6,6,6,7,2.53179295596992,0.03,0
6,6,6,8,2.39052313837746,0.03,0
6,6,6,9,2.3723633337853,0.02,0.02
6,6,6,10,2.47760630539649,0.03,0
6,6,6,11,2.50273038546419,0.03,0
6,6,6,12,2.51069957954695,0.03,0
6,6,7,6,2.48865219992836,0.03,0
6,6,7,7,2.538353343435,0.03,0
6,6,7,8,2.56534235277627,0.03,0
6,6,7,9,2.55051138813514,0.03,0
6,6,7,10,2.48307935939081,0.02,0
6,6,7,11,2.4963229755156,0.02,0
6,6,7,12,2.44271890456184,0.02,0
6,6,8,6,2.25489468515451,0.00999999999999995,0
6,6,8,7,2.60184666347819,0,0
6,6,8,8,2.45121359500699,0.02,0
6,6,8,9,2.39198268224744,0.02,0
6,6,8,10,2.33780913327085,0.01,0
6,6,8,11,2.40200401757559,0.02,0
6,6,8,12,2.57542273018526,0.02,0
6,6,9,6,2.48349826941019,0.03,0
6,6,9,7,2.4578542154196,0.00999999999999995,0
6,6,9,8,2.56799760029115,0.02,0
6,6,9,9,2.34823846962627,0.00999999999999995,0
6,6,9,10,2.4616794542029,0.02,0
6,6,9,11,2.45646656367551,0.02,0
6,6,9,12,2.43689939163249,0.02,0
6,6,10,6,2.47885533782546,0.01,0
6,6,10,7,2.65934025020501,0.01,0
6,6,10,8,2.49373086138057,0.02,0
6,6,10,9,2.50233860311566,0.00999999999999995,0
6,6,10,10,2.48203388123425,0.02,0
6,6,10,11,2.49493391097202,0.00999999999999995,0
6,6,10,12,2.36592310527451,0.02,0
6,6,11,6,2.54240631944558,0.02,0
6,6,11,7,2.40755835848392,0,0
6,6,11,8,2.51895094713919,0.01,0
6,6,11,9,2.61527654445798,0.02,0
6,6,11,10,2.26551584409873,0.03,0
6,6,11,11,2.4769205209009,0.03,0
6,6,11,12,2.52329289233472,0.03,0
6,6,12,6,2.42947027191162,0.01,0
6,6,12,7,2.52016084741135,0,0
6,6,12,8,2.4088220758275,0.02,0
6,6,12,9,2.45444796522022,0.01,0
6,6,12,10,1.42251682031738,0,0
6,6,12,11,2.38279684479712,0.03,0
6,6,12,12,2.60075521902071,0.02,0
6,7,6,6,2.51286631982044,0.01,0
6,7,6,7,2.49735953277469,0,0
6,7,6,8,2.5252684172652,0.02,0
6,7,6,9,2.47148565650831,0.01,0
6,7,6,10,2.48803078287636,0.01,0
6,7,6,11,2.53199034874622,0.01,0
6,7,6,12,2.4315466667398,0.02,0
6,7,7,6,2.49210632112785,0.02,0
6,7,7,7,2.51566975928754,0.02,0
6,7,7,8,2.58645549127699,0.0099999999999999,0
6,7,7,9,2.60034937299243,0.02,0
6,7,7,10,2.36398248202833,0.01,0
6,7,7,11,2.54160904469907,0.01,0
6,7,7,12,2.30492160961055,0.02,0
6,7,8,6,2.4638972978673,0.01,0
6,7,8,7,2.56006663492479,0,0
6,7,8,8,2.56680673018986,0.01,0
