"1st layer","2nd layer","3rd layer","4th layer","MSE","User Time","CPU Time"
27,27,27,27,0.166148996257242,0.16,0.01
27,27,27,28,0.0979959485535299,0.14,0.01
27,27,27,29,0.124364800243736,0.13,0.03
27,27,27,30,0.108257313212664,0.14,0.05
27,27,27,31,0.164903408774702,0.16,0.02
27,27,27,32,0.146204021227526,0.15,0.03
27,27,27,33,0.0976003436625589,0.16,0.03
27,27,28,27,0.127821627346896,0.16,0.03
27,27,28,28,0.114930218380748,0.14,0.05
27,27,28,29,0.106519187555456,0.17,0
27,27,28,30,0.135755454528561,0.17,0.04
27,27,28,31,0.112898164460411,0.12,0
27,27,28,32,0.0964622250282151,0.15,0
27,27,28,33,0.104022879300229,0.14,0
27,27,29,27,0.0951454659221241,0.12,0
27,27,29,28,0.143988769522263,0.17,0
27,27,29,29,0.109053697273024,0.13,0
27,27,29,30,0.0927203098205455,0.16,0
27,27,29,31,0.197998802434815,0.12,0
27,27,29,32,0.107170538903001,0.16,0
27,27,29,33,0.148186196297315,0.17,0
27,27,30,27,0.125504491229614,0.14,0
27,27,30,28,0.157828249321839,0.14,0
27,27,30,29,0.121790667577557,0.19,0
27,27,30,30,0.100475536194216,0.16,0
27,27,30,31,0.120961497341074,0.17,0
27,27,30,32,0.121446826119332,0.16,0
27,27,30,33,0.17561472792933,0.18,0
27,27,31,27,0.134542903244488,0.15,0
27,27,31,28,0.131643745466302,0.17,0
27,27,31,29,0.147585360263784,0.16,0
27,27,31,30,0.123066836456067,0.14,0
27,27,31,31,0.233389057976684,0.17,0
27,27,31,32,0.137267844829555,0.17,0
27,27,31,33,0.106723004916278,0.16,0
27,27,32,27,0.0909873904826842,0.14,0
27,27,32,28,0.162486065107664,0.18,0
27,27,32,29,0.0904208205821583,0.16,0
27,27,32,30,0.128242933939358,0.14,0
27,27,32,31,0.0896757853852324,0.12,0
27,27,32,32,0.144892540391957,0.14,0
27,27,32,33,0.160860534591131,0.14,0
27,27,33,27,0.084808315421566,0.14,0
27,27,33,28,0.140158519718278,0.19,0
27,27,33,29,0.173359372704348,0.17,0
27,27,33,30,0.101830297941813,0.17,0
27,27,33,31,0.0975231097668602,0.14,0
27,27,33,32,0.106189843061195,0.17,0
27,27,33,33,0.102553110673592,0.16,0
27,28,27,27,0.145877503097067,0.16,0
27,28,27,28,0.1093895753347,0.16,0
27,28,27,29,0.106540940527206,0.16,0
27,28,27,30,0.104178149292158,0.14,0
27,28,27,31,0.112666073947295,0.15,0
27,28,27,32,0.150220502151996,0.15,0
27,28,27,33,0.193719171807178,0.14,0
27,28,28,27,0.143814464088386,0.16,0
27,28,28,28,0.14807138954459,0.17,0
27,28,28,29,0.0959841137721714,0.14,0
27,28,28,30,0.212815381998007,0.16,0
27,28,28,31,0.149510039010532,0.14,0
27,28,28,32,0.145779536333553,0.17,0
27,28,28,33,0.119908614395916,0.14,0
27,28,29,27,0.0939886625541795,0.15,0
27,28,29,28,0.107005772023774,0.14,0.02
27,28,29,29,0.128681394523095,0.15,0
27,28,29,30,0.1110251652164,0.14,0
27,28,29,31,0.0979976664720486,0.17,0
27,28,29,32,0.119912584454824,0.16,0
27,28,29,33,0.0979304600242689,0.17,0
27,28,30,27,0.0865267467401638,0.14,0
27,28,30,28,0.152299152013351,0.16,0
27,28,30,29,0.159931637927752,0.14,0
27,28,30,30,0.102913063155506,0.16,0
27,28,30,31,0.0989744923238894,0.16,0
27,28,30,32,0.132458279526505,0.17,0
27,28,30,33,0.120385633971968,0.17,0
27,28,31,27,0.121136570509153,0.18,0
27,28,31,28,0.104189765279131,0.14,0
27,28,31,29,0.119629034860573,0.19,0
27,28,31,30,0.115134359182691,0.16,0
27,28,31,31,0.0876548843535415,0.15,0
27,28,31,32,0.251172412232612,0.18,0
27,28,31,33,0.115982377595897,0.14,0
27,28,32,27,0.112691893272858,0.14,0
27,28,32,28,0.173168021130193,0.17,0
27,28,32,29,0.146640827402543,0.18,0
27,28,32,30,0.0990689354335092,0.17,0
27,28,32,31,0.10389439892909,0.16,0
27,28,32,32,0.135005524449201,0.21,0
27,28,32,33,0.196584557848879,0.16,0
27,28,33,27,0.130700507058368,0.18,0
27,28,33,28,0.147369136178698,0.16,0
27,28,33,29,0.135505924337509,0.18,0
27,28,33,30,0.151568224179642,0.22,0
27,28,33,31,0.128097453528941,0.14,0
27,28,33,32,0.127035577604551,0.15,0
27,28,33,33,0.147988494296934,0.17,0
27,29,27,27,0.0919101826429294,0.13,0
27,29,27,28,0.140061566061605,0.14,0
27,29,27,29,0.16831220544701,0.18,0
27,29,27,30,0.0992479242999892,0.14,0
27,29,27,31,0.114618545611877,0.16,0
27,29,27,32,0.110913870723378,0.18,0
27,29,27,33,0.126075370178663,0.16,0
27,29,28,27,0.116680098846168,0.16,0
27,29,28,28,0.171511896860196,0.13,0
27,29,28,29,0.154401048431076,0.16,0
