"1st layer","2nd layer","3rd layer","4th layer","MSE","User Time","CPU Time"
27,27,27,27,0.0428697071188348,0.15,0.01
27,27,27,28,0.0553166413926062,0.17,0
27,27,27,29,0.0496374458249999,0.15,0.01
27,27,27,30,0.0707562603070373,0.14,0.02
27,27,27,31,0.0837206842777207,0.11,0.05
27,27,27,32,0.0997750055679178,0.14,0.03
27,27,27,33,0.0648758768472134,0.18,0
27,27,28,27,0.112499550353654,0.15,0.02
27,27,28,28,0.0386193423353189,0.15,0
27,27,28,29,0.152409267057908,0.16,0
27,27,28,30,0.0449042714194556,0.17,0
27,27,28,31,0.0712559443408907,0.14,0
27,27,28,32,0.04845563695801,0.15,0
27,27,28,33,0.0268168922858518,0.14,0
27,27,29,27,0.0653116113360955,0.14,0
27,27,29,28,0.0899984803628275,0.14,0
27,27,29,29,0.0370468661759823,0.11,0
27,27,29,30,0.0460167369581158,0.14,0
27,27,29,31,0.0540740895681105,0.12,0
27,27,29,32,0.0466806063504786,0.13,0
27,27,29,33,0.0481205598830802,0.14,0
27,27,30,27,0.0755550202026164,0.14,0
27,27,30,28,0.0527991206337026,0.14,0
27,27,30,29,0.067999116087537,0.15,0
27,27,30,30,0.0759203974619645,0.14,0
27,27,30,31,0.0471774309421969,0.16,0
27,27,30,32,0.0961975276638014,0.14,0
27,27,30,33,0.0388320507016611,0.14,0
27,27,31,27,0.0918023546705851,0.14,0
27,27,31,28,0.0455131581627856,0.15,0
27,27,31,29,0.0585652051413794,0.14,0
27,27,31,30,0.0932436414559257,0.15,0.01
27,27,31,31,0.0405327740206757,0.16,0
27,27,31,32,0.0420000417332668,0.15,0
27,27,31,33,0.0587602513440124,0.14,0
27,27,32,27,0.0326550066798259,0.14,0
27,27,32,28,0.0400435080309533,0.12,0
27,27,32,29,0.0984136985707583,0.16,0
27,27,32,30,0.0922300248931353,0.14,0
27,27,32,31,0.0540357459014043,0.18,0
27,27,32,32,0.0959634371103601,0.14,0
27,27,32,33,0.178500361954211,0.15,0
27,27,33,27,0.0886387526145095,0.15,0
27,27,33,28,0.0372785852199365,0.12,0
27,27,33,29,0.0745888699566468,0.15,0
27,27,33,30,0.114112090999906,0.14,0
27,27,33,31,0.0388108834686642,0.15,0
27,27,33,32,0.0524411202431869,0.16,0
27,27,33,33,0.0480209074716261,0.11,0
27,28,27,27,0.07072391334768,0.14,0
27,28,27,28,0.0540891635592556,0.12,0
27,28,27,29,0.108370810329679,0.13,0
27,28,27,30,0.059730142599609,0.12,0
27,28,27,31,0.0485805719132484,0.13,0
27,28,27,32,0.101314955748958,0.16,0
27,28,27,33,0.117071682114331,0.13,0.01
27,28,28,27,0.0673002933906617,0.15,0
27,28,28,28,0.104612279086088,0.15,0
27,28,28,29,0.0300050671239576,0.14,0
27,28,28,30,0.0875878070222153,0.12,0.02
27,28,28,31,0.117283106986589,0.14,0
27,28,28,32,0.116989099563926,0.14,0
27,28,28,33,0.101540566369341,0.14,0
27,28,29,27,0.0722712410933925,0.13,0
27,28,29,28,0.0547339410458294,0.14,0
27,28,29,29,0.0299033322715525,0.12,0
27,28,29,30,0.0400108317132385,0.14,0
27,28,29,31,0.0553175590883604,0.14,0
27,28,29,32,0.0369008250151934,0.13,0
27,28,29,33,0.128720726619201,0.15,0
27,28,30,27,0.0351179210754364,0.13,0
27,28,30,28,0.138717307632449,0.15,0
27,28,30,29,0.176931522030051,0.17,0
27,28,30,30,0.118205296776714,0.14,0
27,28,30,31,0.0539689390131267,0.16,0
27,28,30,32,0.08132192904722,0.13,0
27,28,30,33,0.0561575792667848,0.16,0
27,28,31,27,0.030172449245367,0.15,0
27,28,31,28,0.0485459748840372,0.16,0
27,28,31,29,0.062509138777211,0.17,0
27,28,31,30,0.0585847194607692,0.16,0
27,28,31,31,0.106406513565916,0.17,0
27,28,31,32,0.245450876396183,0.16,0
27,28,31,33,0.0492962855813372,0.14,0
27,28,32,27,0.0647209325952947,0.14,0
27,28,32,28,0.0852401738839121,0.13,0
27,28,32,29,0.0343744557497815,0.14,0
27,28,32,30,0.0860390834963751,0.16,0
27,28,32,31,0.0552298665707657,0.14,0
27,28,32,32,0.0420858701888002,0.14,0
27,28,32,33,0.109135681550038,0.15,0
27,28,33,27,0.0899584860182583,0.18,0
27,28,33,28,0.0515321254396082,0.16,0
27,28,33,29,0.065524908398277,0.14,0
27,28,33,30,0.0351495523388091,0.15,0
27,28,33,31,0.148748167954644,0.16,0
27,28,33,32,0.101644000691273,0.16,0
27,28,33,33,0.0744363199671178,0.17,0
27,29,27,27,0.0355296940436744,0.14,0
27,29,27,28,0.0522756254424423,0.13,0
27,29,27,29,0.0937819056020064,0.14,0
27,29,27,30,0.0408023036266351,0.13,0
27,29,27,31,0.0740442389726353,0.16,0
27,29,27,32,0.0724853211089663,0.13,0
27,29,27,33,0.0809372554410174,0.15,0
27,29,28,27,0.0500243992264256,0.13,0
27,29,28,28,0.0721472256496151,0.14,0
27,29,28,29,0.0875230572081867,0.14,0
27,29,28,30,0.0523984704226335,0.13,0
27,29,28,31,0.0557120331523961,0.12,0
27,29,28,32,0.054656017751583,0.14,0
27,29,28,33,0.12387280483391,0.16,0
27,29,29,27,0.0784209480860212,0.14,0
27,29,29,28,0.0790881535784197,0.14,0
27,29,29,29,0.065807614079923,0.14,0
27,29,29,30,0.0367896019470052,0.16,0
27,29,29,31,0.0674524827424482,0.14,0
27,29,29,32,0.140528461055398,0.16,0
27,29,29,33,0.0304457841886572,0.14,0
27,29,30,27,0.0611832786491613,0.15,0
27,29,30,28,0.0368347823776885,0.14,0
