"1st layer","2nd layer","3rd layer","4th layer","MSE","User Time","CPU Time"
7,7,7,7,0.358070048103976,0.02,0
7,7,7,8,0.320805382546589,0.00999999999999998,0
7,7,7,9,0.289400388626745,0.02,0
7,7,7,10,0.388478657995814,0.00999999999999998,0
7,7,7,11,0.382179585432333,0.02,0
7,7,7,12,0.314569858636056,0.03,0
7,7,7,13,0.2982547384486,0.00999999999999998,0
7,7,8,7,0.329920476154645,0.04,0
7,7,8,8,0.286257780928861,0.02,0
7,7,8,9,0.366181615948777,0.02,0
7,7,8,10,0.316798353969037,0.02,0
7,7,8,11,0.333135894103613,0.00999999999999995,0
7,7,8,12,0.312697866433094,0.02,0
7,7,8,13,0.291286982603143,0.01,0
7,7,9,7,0.352448632462319,0.00999999999999995,0
7,7,9,8,0.43041272990635,0.02,0
7,7,9,9,0.35967974040479,0,0
7,7,9,10,0.302601927076435,0.02,0
7,7,9,11,0.332328275050978,0.01,0
7,7,9,12,0.352455367668151,0.02,0
7,7,9,13,0.326632475941104,0.00999999999999995,0
7,7,10,7,0.42887484429799,0.00999999999999995,0
7,7,10,8,0.322187238568779,0.02,0
7,7,10,9,0.380884854992971,0.00999999999999995,0
7,7,10,10,0.360674363773463,0,0
7,7,10,11,0.34549759622648,0,0
7,7,10,12,0.359058201435021,0.01,0
7,7,10,13,0.434690354600628,0,0
7,7,11,7,0.401675385585307,0.03,0
7,7,11,8,0.345931761647295,0.01,0
7,7,11,9,0.360242441451066,0.01,0
7,7,11,10,0.277111934239172,0,0
7,7,11,11,0.364979276566804,0.01,0
7,7,11,12,0.358850734676797,0.02,0
7,7,11,13,0.351394794739624,0.01,0
7,7,12,7,0.345950740560167,0.02,0
7,7,12,8,0.369296601525313,0,0
7,7,12,9,0.320705497575321,0.01,0
7,7,12,10,0.332279376056633,0.03,0
7,7,12,11,0.373233192039507,0.02,0
7,7,12,12,0.384330642369073,0.01,0
7,7,12,13,0.38919786606714,0.04,0
7,7,13,7,0.349352726870636,0.02,0
7,7,13,8,0.314310055809128,0.02,0
7,7,13,9,0.339286856964543,0,0
7,7,13,10,0.324638487289096,0,0
7,7,13,11,0.320440129084598,0.02,0
7,7,13,12,0.27733986612586,0.02,0
7,7,13,13,0.356392645397793,0.01,0
7,8,7,7,0.335890162809507,0.02,0
7,8,7,8,0.326594579017889,0.0099999999999999,0
7,8,7,9,0.359291724931405,0.01,0
7,8,7,10,0.361869999185166,0,0
7,8,7,11,0.316884364982741,0.02,0
7,8,7,12,0.383850536665066,0,0
7,8,7,13,0.343905187207561,0.01,0
7,8,8,7,0.315074826072782,0,0
7,8,8,8,0.358729166175155,0.01,0
7,8,8,9,0.374831119324484,0.0099999999999999,0
7,8,8,10,0.3318689379758,0,0
7,8,8,11,0.360940039345694,0.02,0
7,8,8,12,0.314952319987402,0.02,0
7,8,8,13,0.289875787137877,0.01,0
7,8,9,7,0.280081781414761,0.03,0
7,8,9,8,0.328781398398584,0.02,0
7,8,9,9,0.278074453581351,0.02,0
7,8,9,10,0.350539453235166,0.02,0
7,8,9,11,0.2555444313604,0.01,0
7,8,9,12,0.33292912624586,0.03,0
7,8,9,13,0.333006777856021,0.02,0
7,8,10,7,0.330640553453179,0.0299999999999999,0
7,8,10,8,0.354274090216053,0.02,0
7,8,10,9,0.328605720515891,0.02,0
7,8,10,10,0.271463060562113,0.01,0
7,8,10,11,0.37488804279414,0.03,0
7,8,10,12,0.276558339560117,0.01,0
7,8,10,13,0.398688401998665,0.01,0
7,8,11,7,0.333137114173444,0.02,0
7,8,11,8,0.339679123438752,0.01,0
7,8,11,9,0.283048273060281,0.01,0
7,8,11,10,0.29643523909084,0.01,0
7,8,11,11,0.297336796837525,0.02,0
7,8,11,12,0.405701531737957,0.0099999999999999,0
7,8,11,13,0.390285089359513,0,0
7,8,12,7,0.350686329828813,0.02,0
7,8,12,8,0.309439328863715,0.02,0
7,8,12,9,0.347718878998618,0.02,0
7,8,12,10,0.322876844612305,0.03,0
7,8,12,11,0.314070490721329,0.02,0
7,8,12,12,0.271431333355387,0,0
7,8,12,13,0.312757147509588,0.01,0
7,8,13,7,0.359952842799098,0.02,0
7,8,13,8,0.299414156490865,0.02,0
7,8,13,9,0.33953328464201,0.0299999999999999,0
7,8,13,10,0.40069368047393,0.0099999999999999,0
7,8,13,11,0.300980937203419,0.02,0
7,8,13,12,0.371839152041014,0.02,0
7,8,13,13,0.370283021966638,0.01,0
7,9,7,7,0.343953768241179,0.02,0
7,9,7,8,0.378232343319208,0.03,0
7,9,7,9,0.366894180806501,0.01,0
7,9,7,10,0.325973622636194,0.0199999999999999,0
7,9,7,11,0.353838863921636,0.02,0
7,9,7,12,0.337016489804875,0.02,0
7,9,7,13,0.30382064542988,0.01,0
7,9,8,7,0.314325650141021,0,0
7,9,8,8,0.347320739690269,0.02,0
7,9,8,9,0.352233430358921,0.01,0
7,9,8,10,0.336719649673954,0.0199999999999999,0
7,9,8,11,0.339655434017333,0,0
7,9,8,12,0.344259571067845,0.02,0
7,9,8,13,0.362001733585558,0.01,0
7,9,9,7,0.350968392128682,0.01,0
7,9,9,8,0.338052162116285,0.0199999999999999,0
7,9,9,9,0.346766466880408,0.02,0
7,9,9,10,0.33206013117677,0.0299999999999999,0
7,9,9,11,0.307233198940362,0.01,0
7,9,9,12,0.344952039130462,0.01,0
7,9,9,13,0.332182793634687,0.02,0
7,9,10,7,0.357010826291255,0.02,0
7,9,10,8,0.333641793746636,0.03,0
7,9,10,9,0.363395638125063,0.02,0
7,9,10,10,0.357761231464347,0.02,0
7,9,10,11,0.329514254705817,0.02,0
7,9,10,12,0.428250424773536,0.02,0
7,9,10,13,0.325572726376263,0.02,0
7,9,11,7,0.347837342081548,0.02,0
7,9,11,8,0.347475690344307,0.0199999999999999,0
7,9,11,9,0.338786780627108,0.02,0
7,9,11,10,0.378758029085892,0,0
7,9,11,11,0.347048957502257,0.01,0
7,9,11,12,0.376321411962115,0.02,0
7,9,11,13,0.339681127354575,0,0
7,9,12,7,0.349286066732566,0.01,0
7,9,12,8,0.347027235305933,0,0
7,9,12,9,0.371887032304253,0.02,0
7,9,12,10,0.348821796448508,0.02,0
7,9,12,11,0.362576370275681,0.01,0
7,9,12,12,0.358561331084541,0,0
7,9,12,13,0.340422306841103,0.03,0
7,9,13,7,0.37403001156296,0.02,0
7,9,13,8,0.356605848208731,0.02,0
7,9,13,9,0.352590525417911,0.01,0
7,9,13,10,0.323992841147607,0.01,0
7,9,13,11,0.390483877720037,0.01,0
7,9,13,12,0.410582386116537,0.03,0
7,9,13,13,0.334192762770486,0.03,0
7,10,7,7,0.340739557219165,0.02,0
7,10,7,8,0.379210876073976,0.01,0
7,10,7,9,0.314594230860811,0.01,0
7,10,7,10,0.278346844432384,0.01,0
