"1st layer","2nd layer","3rd layer","4th layer","MSE","User Time","CPU Time"
7,7,7,7,17.7439006824577,0.07,0.02
7,7,7,8,17.6094469573231,0.09,0
7,7,7,9,14.9086068188041,0.04,0
7,7,7,10,17.1802883931851,0.05,0.02
7,7,7,11,18.2882594621276,0.1,0.01
7,7,7,12,17.9156905413824,0.1,0
7,7,7,13,18.0184358217142,0.08,0
7,7,8,7,17.7954300587676,0.05,0.01
7,7,8,8,14.9358505624269,0.05,0.01
7,7,8,9,17.6943871647952,0.06,0
7,7,8,10,17.6871329487896,0.08,0
7,7,8,11,19.4537170197995,0.14,0
7,7,8,12,14.9063346353255,0.05,0
7,7,8,13,17.8102882508968,0.05,0
7,7,9,7,17.3619222793975,0.08,0
7,7,9,8,18.1297955758132,0.05,0
7,7,9,9,16.8009055486579,0.05,0
7,7,9,10,17.5104535784546,0.05,0
7,7,9,11,14.9190231393139,0.03,0
7,7,9,12,14.9082707829354,0.04,0
7,7,9,13,14.9061619815459,0.03,0
7,7,10,7,17.5510564455152,0.05,0
7,7,10,8,14.9222915305871,0.05,0
7,7,10,9,14.8865089658732,0.05,0
7,7,10,10,14.8930595455997,0.06,0
7,7,10,11,17.6884669088213,0.09,0
7,7,10,12,18.0061792207231,0.08,0
7,7,10,13,14.8773292624236,0.05,0
7,7,11,7,14.9304806512146,0.05,0
7,7,11,8,19.1993373892305,0.0800000000000001,0
7,7,11,9,17.3173023467181,0.05,0
7,7,11,10,14.9237727054517,0.03,0
7,7,11,11,18.0343502074124,0.08,0
7,7,11,12,14.9181846666312,0.0600000000000001,0
7,7,11,13,14.9135105795207,0.0299999999999999,0
7,7,12,7,18.3762425769088,0.0399999999999999,0
7,7,12,8,17.34321530521,0.0600000000000001,0
7,7,12,9,14.9096926783976,0.0299999999999999,0
7,7,12,10,17.6670532177201,0.0399999999999999,0
7,7,12,11,17.7605189799353,0.0399999999999999,0
7,7,12,12,18.5336345595957,0.0800000000000001,0.01
7,7,12,13,14.8866810015754,0.0299999999999999,0
7,7,13,7,17.878635424397,0.0700000000000001,0
7,7,13,8,17.8059188409994,0.05,0
7,7,13,9,17.6977912149667,0.09,0
7,7,13,10,19.438562567508,0.08,0
7,7,13,11,14.9028543611044,0.05,0
7,7,13,12,17.535347977296,0.04,0
7,7,13,13,14.9503384686707,0.05,0
7,8,7,7,17.2969366196977,0.0499999999999999,0
7,8,7,8,18.46455582346,0.07,0
7,8,7,9,17.8628540116152,0.1,0
7,8,7,10,17.8240059120664,0.05,0
7,8,7,11,17.8055253149107,0.08,0
7,8,7,12,17.9137230832615,0.0800000000000001,0
7,8,7,13,17.5840174609256,0.05,0
7,8,8,7,18.5610698898135,0.09,0
7,8,8,8,18.4456136471158,0.09,0
7,8,8,9,14.8977151392687,0.05,0
7,8,8,10,19.1657741974071,0.1,0
7,8,8,11,18.2321477427596,0.0399999999999999,0
7,8,8,12,17.2943895091216,0.0600000000000001,0
7,8,8,13,14.9271714123622,0.0399999999999999,0
7,8,9,7,18.0964675648912,0.0399999999999999,0
7,8,9,8,18.2957758713394,0.11,0
7,8,9,9,17.6963971839061,0.0700000000000001,0
7,8,9,10,17.4134742489612,0.0700000000000001,0
7,8,9,11,17.6316369583366,0.0599999999999999,0
7,8,9,12,17.8222752106817,0.11,0
7,8,9,13,17.9904545478422,0.0800000000000001,0
7,8,10,7,17.9388141527414,0.0800000000000001,0
7,8,10,8,19.8220796912585,0.0600000000000001,0
7,8,10,9,17.6486557559774,0.04,0
7,8,10,10,17.8244110985382,0.0599999999999999,0
7,8,10,11,14.914263633741,0.04,0
7,8,10,12,20.7816039768405,0.09,0
7,8,10,13,17.5329867840092,0.04,0
7,8,11,7,18.375563263223,0.07,0
7,8,11,8,14.9272046828569,0.04,0
7,8,11,9,14.8900342312711,0.05,0
7,8,11,10,19.1803731097184,0.0900000000000001,0
7,8,11,11,18.4137631703621,0.0800000000000001,0
7,8,11,12,18.4291727043022,0.0700000000000001,0
7,8,11,13,17.7584671277633,0.0600000000000001,0
7,8,12,7,19.303635486072,0.0600000000000001,0
7,8,12,8,14.9083487743126,0.0700000000000001,0
7,8,12,9,14.9154451545718,0.05,0
7,8,12,10,14.8879873660297,0.05,0
7,8,12,11,18.3739523854921,0.0799999999999998,0
7,8,12,12,18.7377393123584,0.0999999999999999,0
7,8,12,13,14.8907141493545,0.04,0
7,8,13,7,20.6726650516544,0.11,0
7,8,13,8,18.9231117653558,0.0999999999999999,0
7,8,13,9,19.5085948015463,0.0999999999999999,0
7,8,13,10,17.7717901888366,0.0800000000000001,0
7,8,13,11,14.9027956532254,0.0499999999999998,0
7,8,13,12,14.935242654282,0.03,0
7,8,13,13,14.9178510097105,0.04,0
7,9,7,7,17.8275875782262,0.0700000000000001,0
7,9,7,8,14.8864080272113,0.0499999999999998,0
7,9,7,9,18.1655306178331,0.0700000000000001,0
7,9,7,10,14.9118641472799,0.05,0
7,9,7,11,19.4887518423991,0.12,0
7,9,7,12,18.332677002538,0.0700000000000001,0
7,9,7,13,18.2595027559462,0.0900000000000001,0
7,9,8,7,17.9828771116179,0.04,0
7,9,8,8,14.869694504719,0.04,0
7,9,8,9,17.5171507639572,0.03,0
7,9,8,10,17.4834409419664,0.0800000000000001,0
7,9,8,11,17.5198953895162,0.0600000000000001,0
7,9,8,12,17.4885759333627,0.0600000000000001,0
7,9,8,13,18.3599994286918,0.14,0
7,9,9,7,14.8984897232957,0.0600000000000001,0
7,9,9,8,18.3727394278382,0.0600000000000001,0
7,9,9,9,17.7255019456898,0.0799999999999998,0
7,9,9,10,18.6572589595872,0.0799999999999998,0
7,9,9,11,14.9105565279636,0.0499999999999998,0
7,9,9,12,19.1238046934719,0.0899999999999999,0
7,9,9,13,18.9821893655609,0.0900000000000001,0
7,9,10,7,18.853408080886,0.11,0
7,9,10,8,14.8871050818721,0.03,0
7,9,10,9,17.5557896850592,0.03,0
7,9,10,10,19.6342026944454,0.0599999999999998,0
7,9,10,11,17.8884789242955,0.05,0
7,9,10,12,18.2421261474949,0.11,0
7,9,10,13,14.9105464570792,0.05,0
7,9,11,7,18.0380274425218,0.0700000000000001,0
7,9,11,8,14.8966055431302,0.04,0
7,9,11,9,14.8819860331651,0.04,0
7,9,11,10,19.0463387867904,0.0900000000000001,0
7,9,11,11,18.6582080291595,0.04,0
7,9,11,12,14.9168419087766,0.05,0
7,9,11,13,14.9054763254628,0.04,0
7,9,12,7,19.9745627178674,0.11,0
7,9,12,8,14.916135292609,0.05,0
7,9,12,9,18.9679124645428,0.0800000000000001,0
7,9,12,10,17.7036787180884,0.0800000000000001,0.02
7,9,12,11,14.9079947044414,0.03,0
7,9,12,12,18.5322814989133,0.0799999999999998,0
7,9,12,13,14.9021471054828,0.03,0
7,9,13,7,17.7000498473008,0.0699999999999998,0
7,9,13,8,18.2718492152584,0.0700000000000001,0
7,9,13,9,17.8258797669178,0.0499999999999998,0
7,9,13,10,14.8946766777189,0.05,0
7,9,13,11,14.9006213621081,0.0600000000000001,0
7,9,13,12,18.9173383379429,0.11,0
7,9,13,13,14.9047622471538,0.0600000000000001,0
7,10,7,7,17.5300337006928,0.04,0
7,10,7,8,14.8863408930764,0.04,0
7,10,7,9,14.8920111830102,0.04,0
7,10,7,10,17.5793314688048,0.1,0
7,10,7,11,17.490906919117,0.0900000000000001,0
7,10,7,12,17.7255843745533,0.0600000000000001,0
7,10,7,13,18.3211052595096,0.0800000000000001,0
7,10,8,7,14.9176183918936,0.04,0
7,10,8,8,14.880505770864,0.03,0
7,10,8,9,14.931328851422,0.03,0
7,10,8,10,14.8989658915714,0.03,0
7,10,8,11,18.2250362565746,0.0700000000000001,0
7,10,8,12,19.079031140731,0.05,0
7,10,8,13,17.5982805581088,0.05,0
7,10,9,7,14.9009186019394,0.0499999999999998,0
7,10,9,8,17.4930504286314,0.0899999999999999,0
7,10,9,9,17.9239663894172,0.11,0
7,10,9,10,14.8838854759852,0.04,0
7,10,9,11,14.9106089190729,0.0499999999999998,0
7,10,9,12,14.9171706945022,0.03,0
7,10,9,13,14.9047864477735,0.0599999999999998,0
7,10,10,7,14.8945123068707,0.03,0
7,10,10,8,14.9260910064249,0.05,0
7,10,10,9,18.4705734785197,0.0499999999999998,0
7,10,10,10,14.9289704096386,0.03,0
7,10,10,11,18.1166730649375,0.13,0
7,10,10,12,18.8072824264303,0.0899999999999999,0
7,10,10,13,18.4605665617498,0.0800000000000001,0
7,10,11,7,18.7900617543011,0.0799999999999998,0
7,10,11,8,18.3132326415843,0.11,0
7,10,11,9,14.9146932632262,0.05,0
7,10,11,10,18.1659560532807,0.12,0
